Time,User,Tweets
2022-03-29 00:05:54+00:00,501Awani,NFT adalah aset kriptografi di blockchain dengan kod pengenalan unik dan metadata yang membezakan antara satu sama… https://t.co/uVsVeQhEz5
2022-03-26 08:17:40+00:00,erickthohir,"Karya seni bergambar wajah saya sampai Presiden @jokowi terpampang di Superlative Gallery, Galeri NFT yang ada di B… https://t.co/NhEZWp5ehd"
2022-03-24 06:34:33+00:00,Edhie_Baskoro,"Teknologi  &amp; Perdagangan komoditas semakin bervariasi. Perlu regulasi ‘Go or No Go-nya’ Kripto, Bitcoin, Binary Opt… https://t.co/u3E1y9Pizt"
2022-03-29 10:10:20+00:00,hossain553_md,@0xPolygon @Mliki_id $MLIKI #Commerce #NFT #Invest #gems #Polygon https://t.co/YAuz5CTkpf
2022-03-29 10:10:14+00:00,sukeblog314,"@ADMEN_DAO @PREMINT_NFT @daikoujyou @Pisuke_nft @sukedonesia @wantantann @polyest33028280 
PREKJC"
2022-03-29 10:10:07+00:00,sarojrao74,"@Stargazer_NFT @elvis_eth @Jagruti65 
@sarojrao2704 
@Bindu12164703 
0x1214508078e21902312D072f550DA579666Bb57f"
2022-03-29 10:10:03+00:00,DoodleboyMY,"RT @MrCaapik: Ada sapa² nak tak ? Akan dapat sekali Box (airdrop) 
https://t.co/alFexWrEhI
Pm 
@DoodleboyMY @pentas_io #NFTs #WAGMI #Sneake…"
2022-03-29 10:10:00+00:00,LinaTartici,"@lotta_NFT 0xe056BdaF0C53215188960eca02C9F8F3200adB85
@Jolin29660349 @duhonemore @AdisonYesim"
2022-03-29 10:09:49+00:00,fluefiyn,@gemhostofficial @shogunate_nft Kucing putih#1676 https://t.co/EhOHQDmnG1
2022-03-29 10:09:27+00:00,BrunoDeberval,@storyteller_nft 0x9dDa5541447b6aB6686904216306c19d9776d8b7
2022-03-29 10:09:24+00:00,Iam_aubreylhata,@CardanoOn @aperob_nft @WeL0683 @yerbuaenitsuj @Jomalhatakit @NeroNFT07 @bcereusly @ADAmPoTokenCNFT @MakiCnft… https://t.co/qrjxTMoNwQ
2022-03-29 10:09:14+00:00,midasworkss,Tap in  #NFT #MentalHealth https://t.co/p92013NUkF
2022-03-29 10:09:12+00:00,MakolovNFTs,"RT @MustelaEM: ""Umm...Imouto""
Season1 No.27/30
""Umm......... Senpai!! ......Baka!!!! ""
https://t.co/tj1BTt7K58
______________
#waifu #CHIBI…"
2022-03-29 10:09:10+00:00,AmazonR01424080,@meta_ghost_nft 0x9759f9FDbE49c5BA074A1add5329cc72AB0f3D86
2022-03-29 10:09:04+00:00,AyoubNazari11,@cryptoziizii @Santa_Floki #santafloki $hohoho #cryptoforacause #bsc #bnb #Bitcoin #Crypto #CryptoNews #BSCGem… https://t.co/XdS5FYnjeQ
2022-03-29 10:09:03+00:00,BrunoDeberval,@storyteller_nft 0x9dDa5541447b6aB6686904216306c19d9776d8b7
2022-03-29 10:08:53+00:00,ESKOPIHITAMANIS,@The_CJ_NFT @Japanese_BAPES Keep konsisten
2022-03-29 10:08:50+00:00,BrunoDeberval,@storyteller_nft 0x9dDa5541447b6aB6686904216306c19d9776d8b7
2022-03-29 10:08:42+00:00,ArcheryNFT,"@Kazuki_nft Gang gang
@ISMAEL_OFC9 
@IsancBoys
@Mitchs__"
2022-03-29 10:08:41+00:00,Iam_dikianggara,RT @Tokocrypto: Tokonauts belum pengen punya NFT AZN? Nih kita kasih 5 alasan kenapa kamu wajib punya NFT AZN yang pasti bakal bikin kamu F…
